Region,C09-Work Indicator,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C13-Major Occupation Group,C15-Major Industry Group,C16-Nature of Employment (Primary Occupation),C21-Class of Worker (Primary Occupation)
2,1,31,84,2,8,48,54
2,1,41,84,1,8,40,40
2,3,52,47,1,8,48,48
2,1,93,84,1,8,48,48
2,1,96,84,2,8,40,49
2,1,93,84,2,8,24,24
2,1,92,96,1,8,56,56
2,1,93,41,1,8,40,50
2,1,61,1,1,6,48,57
2,1,83,46,1,8,48,53
2,1,3,84,1,8,24,31
2,1,11,84,2,8,8,8
2,1,51,96,2,8,8,38
2,1,53,96,2,8,40,50
2,1,93,41,1,8,40,52
2,1,93,42,1,8,40,52
2,1,92,84,2,8,40,46
2,1,31,84,1,8,40,40
2,1,96,84,2,8,40,40
2,1,61,1,1,1,7,7
2,3,52,47,1,8,50,62
2,1,61,1,1,6,36,47
2,1,92,84,2,8,48,59
2,1,96,84,2,8,40,52
2,1,31,55,1,8,48,56
2,1,91,96,2,8,40,46
2,1,51,55,1,8,48,48
2,1,31,50,1,8,59,59
2,1,13,31,1,8,38,53
2,1,23,85,1,8,40,40
2,1,61,1,1,8,48,48
2,1,61,1,1,8,40,40
2,1,93,42,2,8,48,48
2,1,61,1,1,6,36,50
2,1,52,47,1,10,72,72
2,1,54,80,2,8,40,52
2,1,42,55,1,8,48,51
2,1,14,47,1,8,38,38
2,1,26,84,1,8,40,58
2,1,61,1,1,8,48,55
2,1,61,1,1,8,8,8
2,1,93,41,2,8,48,48
2,1,96,84,2,8,40,40
2,1,11,84,2,8,40,40
2,1,54,85,2,6,30,30
2,1,23,85,1,8,40,40
2,1,11,84,2,8,40,40
2,1,51,96,1,8,56,56
2,1,41,84,2,8,40,48
2,1,41,84,2,8,40,40
2,1,96,84,2,8,40,58
2,1,53,96,1,9,45,58
2,1,93,84,2,8,40,50
2,1,72,84,1,8,40,61
2,1,11,84,1,8,40,40
2,1,23,84,1,8,40,40
2,1,96,84,2,8,40,48
2,1,93,41,1,8,32,42
2,1,83,84,1,8,40,48
2,1,52,47,1,8,49,49
2,1,52,47,1,8,49,49
2,1,42,56,2,8,40,40
2,1,96,84,2,8,40,48
2,1,96,84,2,8,40,43
2,1,41,84,2,8,40,40
2,1,44,84,2,8,40,42
2,1,83,49,1,14,68,68
2,1,95,47,1,5,35,36
2,1,54,84,2,8,40,40
2,1,51,56,2,8,48,48
2,1,61,1,1,3,21,21
2,1,61,1,1,3,21,21
2,1,71,41,1,8,24,24
2,1,52,47,1,8,48,48
2,1,51,56,2,8,32,32
2,1,54,80,1,10,50,50
2,1,52,47,2,8,48,48
2,1,93,41,2,8,40,40
2,1,93,46,1,8,48,48
2,1,91,96,2,4,20,20
2,1,52,47,1,6,36,36
2,1,52,47,2,8,48,48
2,1,93,41,2,8,40,40
2,1,92,1,3,4,20,20
2,1,92,1,3,4,20,20
2,1,93,41,2,8,40,40
2,1,93,41,2,8,40,40
2,1,71,41,2,8,40,40
2,1,52,47,1,10,70,70
2,1,83,49,2,6,36,36
2,1,52,47,2,8,48,48
2,1,52,47,2,8,48,48
2,1,61,1,1,4,16,16
2,1,92,1,2,4,12,12
2,1,52,47,2,8,48,48
2,1,52,47,1,8,48,48
